col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
0,2,TypeB,40500,000000011111111000000000000000000111111000000000000000000000000000000000000000000000000000000000000000011111110000000000000000000000000000000001111111000000000111111110,0,0,5715770.40750023
1,3,TypeC,25500,000000000001111000000000000000000111111000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000001110000000000000000001110,0,0,5870580.933816022
2,4,TypeC,25500,000000000001111000000000000000000111111000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000001110000000000000000001110,0,0,5870580.933816022
3,0,TypeA,49300,000000000000000000000000000000111111111000000000000000000000000000000000000000000011111111000000000000011111111110000000000000011111111100000000000001111111111000000000,0,0,3419343.9710387066
4,1,TypeB,41500,000000000000000000000000000000000000011111111000000000000000000000000000000000000011111100000000011111111000000000000000000000000000011111110000000001111111100000000000,0,0,3231794.3748259526
5,2,TypeB,41500,000000000000000000000000000000000000011111111000000000000000000000000000000000000011111100000000011111111000000000000000000000000000011111110000000001111111100000000000,0,0,3231794.3748259507
6,3,TypeC,36000,000000000000000000000000000000000111111000000000000000000000000000000000000000000011111100000000001111110000000000000000000001111110000000000000000000000111111000000000,0,0,1745114.2578668864
7,4,TypeC,36000,000000000000000000000000000000000111111000000000000000000000000000000000000000000011111100000000001111110000000000000000000001111110000000000000000000000111111000000000,0,0,1745114.2578668864
8,0,TypeA,59200,001111111111000000000000111111111100000000000000000000000011111111110000000000000000000000000000011111111110000000000001111111110000000000000000000000000000000000000000,0,0,1097127.234753549
9,1,TypeB,38000,001111111000000000111111110000000000011111111000000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000,0,0,253785.41724681854
10,2,TypeB,38000,001111111000000000111111110000000000011111111000000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000000000000000000000000000,0,0,253785.41724681668
11,3,TypeC,24800,000000111111000000000000000000000000000000111111000000000000000000000000000000000000000000000000011100000000000000000111110000000000011100000000000000000000000000000000,0,0,3562960.206070735
12,4,TypeC,24800,000000111111000000000000000000000000000000111111000000000000000000000000000000000000000000000000011100000000000000000111110000000000011100000000000000000000000000000000,0,0,3562960.206070735
13,0,TypeA,53800,000000111111111000000000000000000000000000000000000000000000000000000000001111111110000000000000011111111110000000000000000001111111110000000000000000000000001111111110,0,0,5746616.300009292
14,1,TypeB,40200,000000000000000000000000000000000000000000000000000000011111110000000000001111111000000000000000011111111000000000000000000000000000011111110000000000000111111100000000,0,0,4787207.7137287725
15,2,TypeB,40200,000000000000000000000000000000000000000000000000000000011111110000000000001111111000000000000000011111111000000000000000000000000000011111110000000000000111111100000000,0,0,4787207.713728771
16,3,TypeC,27800,001111100000000000001111110000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000001110000000000000000000000000111111000000000,1,0,2283380.265478517
17,4,TypeC,27800,001111100000000000001111110000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000001110000000000000000000000000111111000000000,1,0,2283380.265478517
18,0,TypeA,51500,000000111111111000000000000000000000000000000000000000000011111111110000000000001111111110000000000000011111111110000000000000000000000000000000011111111100000000000000,0,0,3073481.667130787
19,1,TypeB,41500,000000000000011111111000000000000000000000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000011111110000000001111111100000000000,1,0,876330.07518797
20,2,TypeB,41500,000000000000011111111000000000000000000000000000000000011111110000000000000000000000000000000000000000011111110000000000000000000000011111110000000001111111100000000000,1,0,876330.0751879681
21,3,TypeC,29100,000000000000000000001111110000000000000000000000000000000000000000000000000000001111110000000000000001111100000000000111110000000000000000000000000001111100000000000000,0,0,3961510.3035366144
22,4,TypeC,29100,000000000000000000001111110000000000000000000000000000000000000000000000000000001111110000000000000001111100000000000111110000000000000000000000000001111100000000000000,0,0,3961510.3035366144
23,0,TypeA,52100,000000000000000000000000000000000000111111111000000000000011111111110000000000000000000000000000000000011111111110000000000001111111110000000000011111111100000000000000,0,0,1462684.386893157
24,1,TypeB,44900,000000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000000000000000000000000000000111111110000000000011111110000000000001111111100,0,0,3073484.9624060187
25,2,TypeB,44900,000000000000000000000000000000000000011111111000000000000000011111110000000000000000000000000000000000000000000000000000111111110000000000011111110000000000001111111100,0,0,3073484.962406017
26,3,TypeC,24800,001111100000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110000000000000011111100,0,0,2538263.594170615
27,4,TypeC,24800,001111100000000000000000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111110000000000001110000000000000011111100,0,0,2538263.594170615
28,0,TypeA,54600,000000111111111000000000000000111111111000000000000000000000000000011111111100000000000000000000000000000000000000000001111111110000000000000000011111111100000000000000,0,0,2497427.3554256074
29,1,TypeB,42500,000000000000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000000011111110000000000000111111110000000,1,0,94078.04696927592
30,2,TypeB,42500,000000000000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000000000000011111111000000000000011111110000000000000111111110000000,1,0,94078.04696927406
31,3,TypeC,27300,001111100000000000000000000000000111111000000000000000000000000000000000000000000000011110000000000000000000000000000111100000000000000000000000000001111100000000000000,0,0,0.0
32,4,TypeC,27300,001111100000000000000000000000000111111000000000000000000000000000000000000000000000011110000000000000000000000000000111100000000000000000000000000001111100000000000000,0,0,0.0
