==========================================================
 ANALYSIS REPORT: Week 14
==========================================================

1. Performance Metrics
----------------------
  Objective Value : 5,731,900.00
  RMP Relaxed Value (LP): 706,515.69
  Integrality Gap       : 711.2913 %
  Execution Time  : 3646.3940 sec
  Iterations      : 49
  RMP Time  : 32.4236 s
  MIP Time  : 3600.9429 s
  Pool Search Time: 11.2047 s
  Graph Search Time: 1.6564 s
  MIP Decision Variables: 872 (Columns used in Final MIP)
  MIP Filtered Columns  : 996 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 8380
  Pool Hits (Reused from History)   : 1788
  Graph Gen (Newly Created)         : 40
  Pool Hit Rate                     : 97.8%

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:  418 / Total Gen: 1672
       -> Avg Length of Unique Patterns: 45.4 hours
  Type: TypeB  | Unique Patterns:  418 / Total Gen: 3344
       -> Avg Length of Unique Patterns: 33.5 hours
  Type: TypeC  | Unique Patterns:  418 / Total Gen: 3344
       -> Avg Length of Unique Patterns: 22.9 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 48 hours worked
  Emp 1  (TypeA): 49 hours worked
  Emp 2  (TypeA): 46 hours worked
  Emp 3  (TypeA): 47 hours worked
  Emp 4  (TypeB): 38 hours worked
  Emp 5  (TypeB): 39 hours worked
  Emp 6  (TypeB): 37 hours worked
  Emp 7  (TypeB): 34 hours worked
  Emp 8  (TypeB): 37 hours worked
  Emp 9  (TypeB): 34 hours worked
  Emp 10 (TypeB): 40 hours worked
  Emp 11 (TypeB): 38 hours worked
  Emp 12 (TypeC): 21 hours worked
  Emp 13 (TypeC): 29 hours worked
  Emp 14 (TypeC): 24 hours worked
  Emp 15 (TypeC): 25 hours worked
  Emp 16 (TypeC): 20 hours worked
  Emp 17 (TypeC): 25 hours worked
  Emp 18 (TypeC): 29 hours worked
  Emp 19 (TypeC): 29 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | Pool Hits  | Graph Gen 
--------------------------------------------------
1     | 568,048,000.00  | 40         | 0         
2     | 385,233,400.00  | 40         | 0         
3     | 160,568,700.00  | 40         | 0         
4     | 73,281,600.00   | 40         | 0         
5     | 40,764,029.30   | 40         | 0         
6     | 22,431,333.33   | 40         | 0         
7     | 16,102,366.70   | 40         | 0         
8     | 10,012,560.98   | 40         | 0         
9     | 7,618,473.38    | 40         | 0         
10    | 5,143,520.46    | 40         | 0         
11    | 3,964,675.23    | 40         | 0         
12    | 3,596,870.77    | 40         | 0         
13    | 2,886,143.45    | 40         | 0         
14    | 2,420,275.49    | 40         | 0         
15    | 1,357,361.47    | 40         | 0         
16    | 879,621.21      | 40         | 0         
17    | 766,058.44      | 40         | 0         
18    | 759,543.27      | 40         | 0         
19    | 755,522.28      | 40         | 0         
20    | 750,354.63      | 40         | 0         
21    | 747,244.34      | 40         | 0         
22    | 744,243.83      | 40         | 0         
23    | 741,822.78      | 40         | 0         
24    | 739,809.95      | 40         | 0         
25    | 738,117.33      | 40         | 0         
26    | 734,004.58      | 40         | 0         
27    | 733,015.37      | 40         | 0         
28    | 729,155.22      | 40         | 0         
29    | 727,815.99      | 40         | 0         
30    | 725,515.02      | 40         | 0         
31    | 723,027.07      | 40         | 0         
32    | 722,128.07      | 40         | 0         
33    | 721,288.31      | 40         | 0         
34    | 721,167.98      | 40         | 0         
35    | 721,089.76      | 20         | 0         
36    | 721,089.76      | 16         | 0         
37    | 721,089.76      | 0          | 20        
38    | 712,141.35      | 40         | 0         
39    | 709,861.47      | 40         | 0         
40    | 708,708.83      | 40         | 0         
41    | 708,454.67      | 40         | 0         
42    | 707,920.51      | 40         | 0         
43    | 707,055.57      | 40         | 0         
44    | 706,817.83      | 40         | 0         
45    | 706,740.28      | 40         | 0         
46    | 706,585.51      | 40         | 0         
47    | 706,525.90      | 8          | 0         
48    | 706,515.69      | 24         | 0         
49    | 706,515.69      | 0          | 20        
