Objective_Value,RMP,MIP,Pool_Search,Solving_Shortest_Path_Problem,Total_Time,Gap_Absolute,Pool_Hit_Rate,Iterations,Stagnant_Iterations,Week
231385500.0,1185.3312,9.838,0.0002,477.5311,1673.9851,230732750.0,0.0,311.0,38.0,1
536105000.0,1592.2612,11.2378,0.0002,560.7098,2165.6964,535421450.0,0.0,360.0,40.0,2
497127300.0,1379.3322,11.3753,0.0002,556.1597,1948.255,496461200.0,0.0,339.0,29.0,3
444151800.0,1211.7136,10.5974,0.0002,570.7674,1794.5109,443507400.0,0.0,301.0,10.0,4
442189600.0,1322.6908,11.0343,0.0003,595.7756,1930.94,441525266.67,0.0,312.0,16.0,5
471147800.0,1900.3883,11.6659,0.0003,660.3399,2574.3977,470491000.0,0.0,392.0,47.0,6
518099500.0,2132.3378,13.9343,0.0003,702.6698,2851.0733,517452050.0,0.0,405.0,49.0,7
449163200.0,1629.1844,12.0154,0.0003,653.0311,2295.8249,448507340.69,0.0,343.0,27.0,8
479128000.0,1126.6799,8.9696,0.0002,514.962,1651.7839,478475425.0,0.0,310.0,21.0,9
301325500.0,1918.4629,13.6589,0.0003,655.2563,2589.2932,300671300.0,0.0,391.0,23.0,10
458156600.0,1339.4714,10.023,0.0003,596.4364,1947.406,457498764.19,0.0,326.0,24.0,11
495123900.0,1778.478,11.4722,0.0003,629.5598,2420.6969,494464397.49,0.0,377.0,56.0,12
350262100.0,617.9181,4.7902,0.0002,344.5473,968.0173,349613100.0,0.0,301.0,27.0,13
529080400.0,1329.0942,7.5094,0.0002,430.972,1768.7984,528430400.0,0.0,414.0,60.0,14
415167300.0,544.5668,6.4518,0.0001,281.0091,832.7155,414540633.33,0.0,279.0,6.0,15
