Week,Time_neighbor,neighbor_FirstSolTime,neighbor_BestSolTime,neighbor_RMP,neighbor_MIP,neighbor_Pool,neighbor_Graph
1,270.9965,,,,,,
2,130.4512,,,,,,
3,130.66541075706482,,,8.746308376081288,0.0,2.2750501232221723,0.0
4,134.02962112426758,,,11.9045787951909,0.0,2.591272877063602,0.0
5,127.89825892448425,,,6.728129460476339,0.0,1.5482255835086107,0.0
6,141.4891607761383,,,18.86003970913589,0.0,3.0659044981002808,0.0
7,132.83286094665527,,,11.184578915126622,0.0,2.0804110397584736,0.0
8,126.78599500656128,,,5.709962624590844,0.0,1.6021004556678236,0.0
9,135.22919130325317,,,13.039596795570105,0.0,2.615023873280734,0.0
10,126.5328209400177,,,5.162290209438652,0.0,1.8052132511511445,0.0
11,128.18138480186462,,,6.778511334210634,0.0,1.8455888754688203,0.0
12,123.99191880226135,,,3.2754572918638587,0.0,1.138109543826431,0.0
13,132.90772199630737,,,10.67839395813644,0.0,2.603135832119733,0.0
14,132.2841498851776,,,10.230302584823221,0.0,2.3417704585008323,0.0
15,127.2413260936737,,,5.969578873831779,0.0,1.7227143333293498,0.0
