==========================================================
 ANALYSIS REPORT: Week 2
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 11,163,600.00
  RMP Relaxed Value (Root): 11,163,600.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 11,163,600.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 358.5734 sec
  Iterations      : 102
  RMP Time  : 15.8365 s
  MIP Time  : 0.1578 s
  Pool Search Time: 313.6503 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 238 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 238
  Columns Added to RMP              : 223
  Columns Added to Queue (Backlog)  : 11117781

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:    2 / Total Gen:    2
       -> Avg Length of Unique Patterns: 25.5 hours
  Type: TypeB  | Unique Patterns:  124 / Total Gen:  125
       -> Avg Length of Unique Patterns: 35.9 hours
  Type: TypeC  | Unique Patterns:  105 / Total Gen:  106
       -> Avg Length of Unique Patterns: 18.7 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 43 hours worked
  Emp 1  (TypeB): 33 hours worked
  Emp 2  (TypeB): 38 hours worked
  Emp 3  (TypeC): 19 hours worked
  Emp 4  (TypeC): 27 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
--------------------------------------------------
1     | 11,163,900.00   | 3          | 286486    
2     | 11,163,600.00   | 3          | 292302    
3     | 11,163,600.00   | 3          | 273662    
4     | 11,163,600.00   | 3          | 237716    
5     | 11,163,600.00   | 3          | 222824    
6     | 11,163,600.00   | 3          | 258642    
7     | 11,163,600.00   | 3          | 236034    
8     | 11,163,600.00   | 3          | 273156    
9     | 11,163,600.00   | 3          | 218781    
10    | 11,163,600.00   | 3          | 182875    
11    | 11,163,600.00   | 3          | 152630    
12    | 11,163,600.00   | 3          | 145217    
13    | 11,163,600.00   | 3          | 140604    
14    | 11,163,600.00   | 3          | 119716    
15    | 11,163,600.00   | 3          | 110566    
16    | 11,163,600.00   | 3          | 100963    
17    | 11,163,600.00   | 3          | 131869    
18    | 11,163,600.00   | 3          | 127850    
19    | 11,163,600.00   | 3          | 128121    
20    | 11,163,600.00   | 2          | 255521    
21    | 11,163,600.00   | 2          | 155096    
22    | 11,163,600.00   | 2          | 118864    
23    | 11,163,600.00   | 2          | 159258    
24    | 11,163,600.00   | 2          | 161345    
25    | 11,163,600.00   | 2          | 155796    
26    | 11,163,600.00   | 2          | 152677    
27    | 11,163,600.00   | 2          | 134343    
28    | 11,163,600.00   | 2          | 111250    
29    | 11,163,600.00   | 2          | 102360    
30    | 11,163,600.00   | 2          | 111043    
31    | 11,163,600.00   | 2          | 92300     
32    | 11,163,600.00   | 2          | 84503     
33    | 11,163,600.00   | 2          | 81996     
34    | 11,163,600.00   | 2          | 97874     
35    | 11,163,600.00   | 2          | 89993     
36    | 11,163,600.00   | 2          | 121131    
37    | 11,163,600.00   | 2          | 99465     
38    | 11,163,600.00   | 2          | 93120     
39    | 11,163,600.00   | 2          | 62826     
40    | 11,163,600.00   | 2          | 140051    
41    | 11,163,600.00   | 2          | 109317    
42    | 11,163,600.00   | 2          | 101091    
43    | 11,163,600.00   | 2          | 101167    
44    | 11,163,600.00   | 2          | 107958    
45    | 11,163,600.00   | 2          | 93319     
46    | 11,163,600.00   | 2          | 105774    
47    | 11,163,600.00   | 2          | 107212    
48    | 11,163,600.00   | 2          | 89943     
49    | 11,163,600.00   | 2          | 98591     
50    | 11,163,600.00   | 2          | 73590     
51    | 11,163,600.00   | 2          | 60715     
52    | 11,163,600.00   | 2          | 58422     
53    | 11,163,600.00   | 2          | 53219     
54    | 11,163,600.00   | 2          | 83773     
55    | 11,163,600.00   | 2          | 75722     
56    | 11,163,600.00   | 2          | 94022     
57    | 11,163,600.00   | 2          | 93154     
58    | 11,163,600.00   | 2          | 83787     
59    | 11,163,600.00   | 2          | 119643    
60    | 11,163,600.00   | 2          | 98280     
61    | 11,163,600.00   | 2          | 92812     
62    | 11,163,600.00   | 2          | 77489     
63    | 11,163,600.00   | 2          | 69813     
64    | 11,163,600.00   | 2          | 58069     
65    | 11,163,600.00   | 2          | 98771     
66    | 11,163,600.00   | 2          | 87378     
67    | 11,163,600.00   | 2          | 73173     
68    | 11,163,600.00   | 2          | 80490     
69    | 11,163,600.00   | 2          | 77284     
70    | 11,163,600.00   | 2          | 81269     
71    | 11,163,600.00   | 2          | 70547     
72    | 11,163,600.00   | 2          | 108974    
73    | 11,163,600.00   | 2          | 98834     
74    | 11,163,600.00   | 2          | 71786     
75    | 11,163,600.00   | 2          | 62129     
76    | 11,163,600.00   | 2          | 106064    
77    | 11,163,600.00   | 2          | 91629     
78    | 11,163,600.00   | 2          | 75900     
79    | 11,163,600.00   | 2          | 105629    
80    | 11,163,600.00   | 2          | 83344     
81    | 11,163,600.00   | 2          | 68325     
82    | 11,163,600.00   | 2          | 75100     
83    | 11,163,600.00   | 2          | 70711     
84    | 11,163,600.00   | 2          | 69956     
85    | 11,163,600.00   | 2          | 104272    
86    | 11,163,600.00   | 2          | 84517     
87    | 11,163,600.00   | 2          | 84975     
88    | 11,163,600.00   | 2          | 64178     
89    | 11,163,600.00   | 2          | 65009     
90    | 11,163,600.00   | 2          | 46182     
91    | 11,163,600.00   | 2          | 45670     
92    | 11,163,600.00   | 2          | 39141     
