Week,Time_exact,exact_FirstSolTime,exact_BestSolTime,Time_std,std_FirstSolTime,std_BestSolTime,std_RMP,std_MIP,std_Pool,std_Graph,Time_acc,acc_FirstSolTime,acc_BestSolTime,acc_RMP,acc_MIP,acc_Pool,acc_Graph,Time_pruning,pruning_FirstSolTime,pruning_BestSolTime,pruning_RMP,pruning_MIP,pruning_Pool,pruning_Graph
1,57.15589213371277,41.36,54.74,49.90041184425354,42.1991188621521,43.7491188621521,18.477967042243108,8.209663582965732,3.82883008569479e-05,23.158776418538764,50.7470588684082,43.05071068763733,44.61071068763733,18.60077286954038,8.205073083983734,0.04143332992680371,23.845886202994734,50.907612323760986,43.240477323532104,44.7904773235321,18.48274266975932,8.166062582982704,0.04152504657395184,24.165821951813996
2,191.66329383850098,34.1,189.08,96.14320683479309,84.0734608745575,86.47346087455749,44.60447470564395,13.128424749942496,5.908613093197346e-05,38.31194528262131,68.90932989120483,59.24571982383728,65.68571982383727,31.559097503311932,10.572319332975894,1.4454192481935024,25.245543741621077,68.99772787094116,59.20575705528259,65.64575705528259,31.84460320021026,10.700659000081941,1.4370833009015769,24.927910334197804
3,32.2623348236084,29.69,29.75,67.623526096344,55.6576442527771,56.7776442527771,25.488763451576233,12.944651207886636,4.6338653191924095e-05,29.119217777624726,74.87259602546692,68.79703205108643,72.60703205108642,37.03059800248593,8.754058874910697,3.5454926234669983,25.433358581271023,75.08434796333313,68.99125617027283,72.81125617027283,37.56801212206483,8.77099237497896,3.535319086862728,25.099366871872917
4,10.241031885147095,7.53,7.53,75.9328179359436,67.68968717575073,67.68968717575073,32.06671623769216,9.661840625107288,8.24970193207264e-05,34.11807402782142,139.46073412895203,130.21048731803893,130.21048731803893,78.11638499633409,11.198570332955569,9.136178250657395,40.81264914991334,139.7895529270172,130.40207785606384,130.40207785606384,76.53102741995826,11.325789083028212,9.138927872292697,42.59495444735512
5,13.902791976928711,11.31,11.31,54.42028474807739,50.05060097694397,50.06060097694397,21.3011442956049,5.588599999900907,4.429067485034466e-05,27.469602164812386,76.86923432350159,76.2021922492981,76.2021922492981,40.62363725132309,1.1056559158023447,9.48749462584965,25.52167862607166,61.53440475463867,60.773857803344725,60.773857803344725,31.413420204538852,1.229159374954179,3.005226958077401,25.777362909633666
6,113.70866918563843,32.32,111.09,63.86837816238403,54.32327617645264,60.483276176452634,24.96315287728794,9.933759749867022,5.200086161494255e-05,28.897796751232818,118.97482967376709,108.20584784507751,113.13584784507752,60.60909766983241,12.12705570901744,14.661081205820665,31.400999042904004,92.7970712184906,83.78315702438354,84.20315702438354,46.68785028462298,9.922338166972622,6.048701578285545,30.003266488667578
7,1624.8959410190582,42.5,63.88,69.73493504524231,63.452741918563845,67.34274191856385,29.356282288907096,7.091032666154206,6.533600389957428e-05,33.20870573516004,108.86703419685364,105.62014622688294,105.62014622688294,54.466410542605445,4.195229416945949,17.724980203434825,32.310598626499996,78.38316702842712,70.597793302536,72.96779330253601,38.23206528928131,9.493800292024389,3.2646340031642467,27.267866167938337
8,39.17273807525635,29.68,35.9,58.66126894950867,55.04424892425537,55.04424892425537,24.881007877876982,4.475789833115414,4.8457179218530655e-05,29.231100533390418,117.74848937988281,114.32472010612487,115.47472010612488,61.971155632752925,4.881881249835715,21.86721170390956,28.836093789199367,87.30109095573425,81.1468138885498,81.1468138885498,46.40254141460173,7.172721625072882,6.041250874521211,27.54266757867299
9,42.59902000427246,39.28,39.9,69.97465395927429,60.40358687400818,63.48358687400818,27.95545199746266,10.079830166883767,5.2456511184573174e-05,31.855053294682875,79.32136225700378,76.57976631164551,78.2297663116455,35.94941529654898,3.5299797910265625,18.46973912208341,21.23676288127899,77.3656120300293,70.83609172821045,72.45609172821045,37.731763085350394,7.747992750024423,3.311894252896309,28.443487050943077
10,190.27145385742188,51.31,187.77,90.45240211486816,80.7698229789734,86.71982297897338,40.476715178228915,11.081076917005703,9.391247294843197e-05,38.79031573841348,133.03030800819397,130.15505307197571,132.02505307197572,72.67141576227732,4.053317707963288,29.374121418921277,26.699487959966063,82.90880584716797,80.56632005691529,80.56632005691529,48.02955399570055,3.2109152500052005,6.043393235653639,25.483723419718444
11,53.257976055145264,30.02,50.59,55.80845904350281,43.08189972877503,43.08189972877503,17.801293664379045,13.065316541818902,7.470976561307907e-05,24.881356328725815,112.50671696662903,96.23003299713135,96.23003299713135,47.074757078662515,17.354721291922033,25.672993420856073,22.23149258317426,105.8271222114563,85.97029128074647,89.01029128074646,48.55528284073807,21.255090333987027,3.742190327262506,32.12382170325145
