col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
0,0,TypeA,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,0
1,0,TypeA,8000,000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,2
2,1,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,0
3,1,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,4
4,2,TypeB,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,1
5,2,TypeB,4000,000000000011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,2
6,3,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,3
7,3,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,1
8,4,TypeC,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,4
9,4,TypeC,3900,000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0,0,0
10,0,TypeA,49000,000000000000000000000000000000001111111110000000000000000111111111000000000000001111111110000000000001111111110000000000000001111111111000000000000000000000000000000000,0,0,0,16
11,1,TypeB,38100,000000000000000000000000000000000011111110000000000000000011111111000000000000001111111000000000000000011111110000000000000000001111111000000000000000000000000000000000,0,0,0,4
12,2,TypeB,38100,000000000000000000000000000000000011111110000000000000000011111111000000000000001111111000000000000000011111110000000000000000001111111000000000000000000000000000000000,0,0,0,14
13,3,TypeC,36600,000000000000000000000000000000000000000000000000000000000000111111000000000000001111110000000000000000011111100000000000000001111110000000000000000000000111111000000000,0,0,0,18
